id,comment,pagination-url
1617730594-6281,"Chủ dễ thương , thân thiện",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=25;rows=25
1617730600-6417,"Không gian đẹp , yên tĩnh, phòng tắm rộng, giường êm, chú chủ cũng dễ thương ,nhiệt tình lắm.gđ mình book phòng cho 5 ng chưa tới 100k 1 người ,lần đầu book ở ks này giá rẻ hợp lý nữa. Đáng tiền!!",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=75;rows=25
1617730629-7024,"1. Phòng không cách âm, ồn 1 cách khủng khiếp. Ở lầu 2 mà dưới sảnh nói gì cũng nghe hết. 12h khuya khách chạy giỡn rần rần ko 1 câu nhắc nhở cho người khác nghỉ ngơi. Tiếng điện thoại reo lúc 1h sáng cứ để reo miết gần 10p ko ai bắt máy. Chưa bao giờ ở một nơi ồn như vậy.
2. Dọn vệ sinh kiểu gì mà mùi bia đổ lâu ngày nồng nặc trong phòng, thêm cả mùi thuốc lá. Nó dính lên cả rèm treo. Mùi nó cứ thoang thoảng cả đêm.
3. Muỗi, khá nhiều muỗi. Trước khi ngủ đập hết một mớ mà khuya vẫn bị chích như thường.",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=275;rows=25
1617730635-7185,Nẳm ngay trung tâm. Chủ ks rất dễ thương! Nhiệt tình giúp khách mọi thứ.!,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=325;rows=25
1617730635-7181,Tiện di chuyển ra biển khu vực đông đúc,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=325;rows=25
1617730614-6714,Khách sạn sạch sẽ đầy đủ tiện nghi.  Giá cả thì quá hợp lí.  Có dịp mình sẽ quay lại,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=175;rows=25
1617730604-6502,Lần sau nhất định tới khách sạn này . Tất cả đều tốt,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=100;rows=25
1617730600-6426,Không có.,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=75;rows=25
1617730611-6651,Phòng rộng rãi sạch sẽ. Nhân viên thân thiện.,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=150;rows=25
1617730625-6931,"chủ rất nhiệt tình, lại dễ mến!",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=250;rows=25
1617730604-6493,"Ông chủ rat thân thiện
Coa hệ thống đèn cảm ứng",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=100;rows=25
1617730614-6723,Rất thích chú chủ khách sạn.,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=175;rows=25
1617730594-6293,"Chú chủ khách sạn cực kỳ thân thiện, nhiệt tình và chu đáo. Mình đến sớm hơn thời gian dự kiến, chú vẫn cố gắng sắp xếp phòng ổn thoả. Lúc về trời đang mưa chú căn dặn, dặn dò như con cháu trong nhà. Sẽ quay lại khi có dịp ghé Vũng tàu.",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=25;rows=25
